"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint"
"C1,C5","2","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"C2","1","10µF 50V","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"C3","1","22µF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"C4","1","100nF","","","","Capacitor_SMD:C_0805_2012Metric"
"D1","1","1N4148","","","","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal"
"J1","1","Barrel_Jack_MountingPin","","","","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal"
"J2","1","Output_V-from-PD65","","","","Connector_Wire:SolderWire-1sqmm_1x01_D1.4mm_OD2.7mm"
"J3","1","FAN","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"L1","1","3,3µH - 4.7µH","","","","Inductor_SMD:L_Bourns-SRN4018"
"Q1","1","2N2222","","","","Package_TO_SOT_THT:TO-92"
"R1,R2,R3,R4,R7,R9","6","R10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R5","1","R10m","","","","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder"
"R6","1","R100k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R8","1","R1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"TH1,TH2","2","Thermistor_NTC","","","","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical"
"U1","1","PD65W_module","","","","Library_footprint:PD65W_module"
"U2","1","OLED_0.91-I2C","","","","Display:ER_OLEDM0.91_1x-I2C"
"U3","1","MOUDLE-SEEEDUINO-XIAO","","","","Seeed Studio XIAO Series Library:XIAO-RP2040-DIP"
"U4","1","AP63205WU","","","","Package_TO_SOT_SMD:TSOT-23-6_HandSoldering"
"U5","1","INA226","","","","Package_SO:TSSOP-10_3x3mm_P0.5mm"
