"Symbol zákazníka";"Symbol";"Označení výrobce";"Výrobce";"Množství";"Jednotka";"Cena bez DPH";"Cena s DPH";"Hodnota bez DPH";"Hodnota s DPH";"Měna"
"";"INA226AIDGSR";"INA226AIDGSR";"TEXAS INSTRUMENTS";"1";"ks";"49.92";"60.4";"49.92";"60.4";"CZK"
"";"SEEED-102010428";"XIAO RP2040";"SEEED STUDIO";"1";"ks";"118.21";"143.03";"118.21";"143.03";"CZK"
"";"AP63205WU-7";"AP63205WU-7";"DIODES INCORPORATED";"1";"ks";"15.62";"19.02";"15.72";"19.02";"CZK"
"";"MAR251202FR010S";"MAR251202FR010S";"WAYON";"1";"ks";"5.1168";"6.32";"5.22";"6.32";"CZK"
"";"B57891M0103J000";"B57891M0103J000";"TDK";"2";"ks";"11.751";"28.37";"23.45";"28.37";"CZK"
"";"DJNR6045-4R5-S";"DJNR6045-4R5-S";"FERROCORE";"5";"ks";"3.404";"20.73";"17.13";"20.73";"CZK"
"";"CL21A226KPCLRNC";"CL21A226KPCLRNC";"SAMSUNG";"1";"ks";"6.0909";"7.32";"6.05";"7.32";"CZK"
"";"C2012X5R1V106KAC";"C2012X5R1V106K125AC";"TDK";"2";"ks";"8.777";"21.36";"17.65";"21.36";"CZK"
"";"CC0805KRX7R9BB104";"CC0805KRX7R9BB104";"YAGEO";"3";"ks";"3.7721";"13.75";"11.36";"13.75";"CZK"
"";"PC-GK2.1";"PC-GK2.1";"NINIGI";"3";"ks";"7.644";"27.79";"22.97";"27.79";"CZK"
"";"MF25060V1-A99-A";"MF25060V1-1000U-A99";"SUNON";"1";"ks";"134.2";"162.38";"134.2";"162.38";"CZK"
