"Symbol zákazníka";"Symbol";"Označení výrobce";"Výrobce";"Množství";"Jednotka";"Cena bez DPH";"Cena s DPH";"Hodnota bez DPH";"Hodnota s DPH";"Měna"
"";"B57891M0103J000";"B57891M0103J000";"TDK";"2";"ks";"11.737";"28.35";"23.43";"28.35";"CZK"
"";"INA226AIDGSR";"INA226AIDGSR";"TEXAS INSTRUMENTS";"1";"ks";"49.57";"59.98";"49.57";"59.98";"CZK"
"";"SEEED-102010428";"XIAO RP2040";"SEEED STUDIO";"1";"ks";"117.39";"142.04";"117.39";"142.04";"CZK"
"";"MAR251202FR010S";"MAR251202FR010S";"WAYON";"1";"ks";"5.0815";"6.28";"5.19";"6.28";"CZK"
"";"C2012X5R1V106KAC";"C2012X5R1V106K125AC";"TDK";"2";"ks";"8.766";"21.33";"17.63";"21.33";"CZK"
"";"CC0805KRX7R9BB104";"CC0805KRX7R9BB104";"YAGEO";"3";"ks";"2.8739";"10.51";"8.69";"10.51";"CZK"
"";"MF25060V1-A99-A";"MF25060V1-1000U-A99";"SUNON";"1";"ks";"134.03";"162.18";"134.03";"162.18";"CZK"
"";"LSXND6060YEL4R7NMG";"LSXND6060YEL4R7NMG";"TAIYO YUDEN";"1";"ks";"7.004";"8.47";"7";"8.47";"CZK"
"";"1N4148-CDI";"1N4148";"CDIL";"1";"ks";"1.6904";"2.01";"1.66";"2.01";"CZK"
"";"2N2222A-DIO";"2N2222A";"DIOTEC SEMICONDUCTOR";"1";"ks";"1.8088";"2.04";"1.69";"2.04";"CZK"
"";"CRCW080510K0FKEA";"CRCW080510K0FKEA";"VISHAY";"6";"ks";"0.16784";"1.17";"0.97";"1.17";"CZK"
"";"RC0805FR-07100K";"RC0805FR-07100KL";"YAGEO";"1";"ks";"1.1592";"1.46";"1.21";"1.46";"CZK"
"";"RC0805FR-071K";"RC0805FR-071KL";"YAGEO";"1";"ks";"0.79743";"0.87";"0.72";"0.87";"CZK"
"";"FCR681465P";"FC681465P (DC-10LP)";"CLIFF";"1";"ks";"41.7";"50.46";"41.7";"50.46";"CZK"
